"","Pi","ES","K","cppi_ret","montses_ret","diff","pi_b"
"1",NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA
"4",40,22.132715349327,-72.0419884620593,3.11377301165841,-0.0809086384823251,-3.19468165014074,3.94430452610506e-31
"5",50,-27.7054350491412,90.1811910849545,3.45336413056544,2.80488172964512,-0.64848240092032,0.328125
"6",60,-98.7801818756917,321.529492005376,3.80511164687278,4.96566408084973,1.16055243397694,2.375
"7",70,-121.941186478815,396.918561988542,4.13969855016194,5.6664313398959,1.52673278973396,1.28125
"8",80,-143.563785980275,467.300123365797,4.7402008790511,6.03546333924651,1.29526246019542,3
"9",90,-168.690152557801,549.086446575641,4.7805141343931,6.48133788067772,1.70082374628462,3
"10",100,-248.762498215385,809.721931691078,5.24958560059317,7.82466086100405,2.57507526041088,3
